x(dtmb),y(dtmb),z(dtmb),psi(dtmb),theta(dtmb),phi(dtmb)
0.000000e+00,0.000000e+00,-1.450000e+00,0.000000e+00,-0.000000e+00,0.000000e+00
1.466587e-01,4.308063e-04,-1.456290e+00,7.469309e-07,3.605868e-04,8.764938e-05
5.830469e-01,1.809327e-03,-1.475602e+00,3.467261e-06,1.399549e-03,3.677809e-04
1.303612e+00,4.263753e-03,-1.508744e+00,8.950498e-06,3.048664e-03,8.646176e-04
2.302587e+00,7.918860e-03,-1.556668e+00,1.806882e-05,5.235415e-03,1.599946e-03
3.573920e+00,1.289331e-02,-1.620406e+00,3.176784e-05,7.884148e-03,2.592745e-03
5.111013e+00,1.929694e-02,-1.700996e+00,5.106156e-05,1.091686e-02,3.858900e-03
6.907877e+00,2.722831e-02,-1.799414e+00,7.704481e-05,1.425755e-02,5.410857e-03
8.960604e+00,3.677271e-02,-1.916531e+00,1.109196e-04,1.783686e-02,7.257306e-03
1.126330e+01,4.800049e-02,-2.053009e+00,1.539623e-04,2.158338e-02,9.402947e-03
1.381003e+01,6.096640e-02,-2.209255e+00,2.075471e-04,2.542964e-02,1.184830e-02
1.659487e+01,7.570973e-02,-2.385379e+00,2.731502e-04,2.931305e-02,1.458955e-02
1.961187e+01,9.225406e-02,-2.581159e+00,3.524235e-04,3.317657e-02,1.761895e-02
2.285506e+01,1.105980e-01,-2.796031e+00,4.477465e-04,3.696902e-02,2.092674e-02
2.631850e+01,1.307231e-01,-3.029093e+00,5.620112e-04,4.064510e-02,2.450108e-02
2.999624e+01,1.526068e-01,-3.279112e+00,6.981951e-04,4.416503e-02,2.832703e-02
3.388240e+01,1.762264e-01,-3.544538e+00,8.593574e-04,4.749394e-02,3.238634e-02
3.797110e+01,2.015585e-01,-3.823524e+00,1.049355e-03,5.060187e-02,3.669803e-02
4.225654e+01,2.285924e-01,-4.114045e+00,1.271801e-03,5.346629e-02,4.125850e-02
4.673299e+01,2.573397e-01,-4.414029e+00,1.529283e-03,5.607691e-02,4.600112e-02
5.139478e+01,2.878315e-01,-4.721230e+00,1.825155e-03,5.843486e-02,5.090037e-02
5.623632e+01,3.201404e-01,-5.032977e+00,2.163476e-03,6.054776e-02,5.596803e-02
6.125212e+01,3.543977e-01,-5.346566e+00,2.547157e-03,6.244046e-02,6.116547e-02
6.643675e+01,3.908008e-01,-5.659238e+00,2.978293e-03,6.414980e-02,6.643813e-02
7.178498e+01,4.296034e-01,-5.968606e+00,3.458128e-03,6.573068e-02,7.173549e-02
7.729178e+01,4.711007e-01,-6.273209e+00,3.987577e-03,6.726430e-02,7.704994e-02
8.295216e+01,5.156536e-01,-6.570856e+00,4.567811e-03,6.876954e-02,8.236671e-02
8.876118e+01,5.636623e-01,-6.859054e+00,5.201032e-03,7.022098e-02,8.766378e-02
9.471409e+01,6.155030e-01,-7.136545e+00,5.890187e-03,7.160175e-02,9.290373e-02
1.008063e+02,6.714987e-01,-7.403393e+00,6.639980e-03,7.289839e-02,9.806563e-02
1.070334e+02,7.320069e-01,-7.659592e+00,7.455367e-03,7.410754e-02,1.031467e-01
1.133909e+02,7.974960e-01,-7.904168e+00,8.340921e-03,7.524332e-02,1.081905e-01
1.198746e+02,8.684301e-01,-8.136733e+00,9.301775e-03,7.631439e-02,1.132317e-01
1.264803e+02,9.453233e-01,-8.356981e+00,1.034240e-02,7.733920e-02,1.182973e-01
1.332041e+02,1.028217e+00,-8.569392e+00,1.147487e-02,7.823437e-02,1.233376e-01
1.400419e+02,1.118237e+00,-8.768688e+00,1.269371e-02,7.913857e-02,1.284656e-01
1.469898e+02,1.215996e+00,-8.955237e+00,1.400245e-02,8.006711e-02,1.337070e-01
1.540441e+02,1.322147e+00,-9.129502e+00,1.540418e-02,8.103757e-02,1.390938e-01
1.612010e+02,1.437379e+00,-9.292090e+00,1.690142e-02,8.206793e-02,1.446535e-01
1.684569e+02,1.562175e+00,-9.445300e+00,1.850150e-02,8.312411e-02,1.504289e-01
1.758083e+02,1.697297e+00,-9.589485e+00,2.020588e-02,8.422467e-02,1.564274e-01
1.832517e+02,1.843558e+00,-9.724984e+00,2.201564e-02,8.538495e-02,1.626379e-01
1.907840e+02,2.001696e+00,-9.852841e+00,2.393424e-02,8.659898e-02,1.690661e-01
1.984017e+02,2.172452e+00,-9.974213e+00,2.596572e-02,8.785612e-02,1.757241e-01
2.061020e+02,2.356538e+00,-1.009051e+01,2.811533e-02,8.913756e-02,1.826343e-01
2.138816e+02,2.554640e+00,-1.020327e+01,3.038921e-02,9.041781e-02,1.898282e-01
2.217378e+02,2.767591e+00,-1.031324e+01,3.279069e-02,9.169003e-02,1.973147e-01
2.296676e+02,2.996236e+00,-1.042120e+01,3.532320e-02,9.294594e-02,2.051045e-01
2.376684e+02,3.241387e+00,-1.052818e+01,3.799124e-02,9.416982e-02,2.132140e-01
2.457375e+02,3.503879e+00,-1.063509e+01,4.079922e-02,9.534459e-02,2.216570e-01
2.538722e+02,3.784643e+00,-1.074235e+01,4.374993e-02,9.646121e-02,2.304420e-01
2.620701e+02,4.084729e+00,-1.084993e+01,4.684399e-02,9.752175e-02,2.395688e-01
2.703288e+02,4.405297e+00,-1.095751e+01,5.007997e-02,9.853829e-02,2.490213e-01
2.786458e+02,4.747527e+00,-1.106491e+01,5.345647e-02,9.952079e-02,2.587787e-01
2.870189e+02,5.112520e+00,-1.117238e+01,5.697463e-02,1.004648e-01,2.688407e-01
2.954458e+02,5.501380e+00,-1.128024e+01,6.063599e-02,1.013627e-01,2.792126e-01
3.039244e+02,5.915231e+00,-1.138874e+01,6.444197e-02,1.022074e-01,2.898994e-01
3.124525e+02,6.355220e+00,-1.149806e+01,6.839385e-02,1.029917e-01,3.009058e-01
3.210282e+02,6.822515e+00,-1.160831e+01,7.249272e-02,1.037084e-01,3.122362e-01
3.296494e+02,7.318306e+00,-1.171953e+01,7.673954e-02,1.043506e-01,3.238947e-01
3.383143e+02,7.843801e+00,-1.183170e+01,8.113508e-02,1.049115e-01,3.358852e-01
3.470211e+02,8.400226e+00,-1.194473e+01,8.567996e-02,1.053841e-01,3.482112e-01
3.557678e+02,8.988824e+00,-1.205846e+01,9.037461e-02,1.057617e-01,3.608760e-01
3.645529e+02,9.610855e+00,-1.217268e+01,9.521928e-02,1.060374e-01,3.738829e-01
3.733745e+02,1.026759e+01,-1.228709e+01,1.002140e-01,1.062044e-01,3.872345e-01
3.822310e+02,1.096032e+01,-1.240132e+01,1.053587e-01,1.062559e-01,4.009335e-01
3.911209e+02,1.169034e+01,-1.251497e+01,1.106530e-01,1.061850e-01,4.149822e-01
4.000426e+02,1.245896e+01,-1.262753e+01,1.160963e-01,1.059848e-01,4.293827e-01
4.089945e+02,1.326750e+01,-1.273844e+01,1.216878e-01,1.056484e-01,4.441369e-01
4.179753e+02,1.411727e+01,-1.284707e+01,1.274266e-01,1.051688e-01,4.592464e-01
4.269834e+02,1.500960e+01,-1.295274e+01,1.333113e-01,1.045390e-01,4.747125e-01
4.360175e+02,1.594583e+01,-1.305466e+01,1.393403e-01,1.037517e-01,4.905363e-01
4.450761e+02,1.692729e+01,-1.315201e+01,1.455119e-01,1.027998e-01,5.067185e-01
4.541581e+02,1.795529e+01,-1.324387e+01,1.518240e-01,1.016762e-01,5.232598e-01
4.632620e+02,1.903118e+01,-1.332928e+01,1.582740e-01,1.003734e-01,5.401602e-01
4.723867e+02,2.015626e+01,-1.340720e+01,1.648593e-01,9.888414e-02,5.574196e-01
4.815308e+02,2.133184e+01,-1.347649e+01,1.715767e-01,9.720102e-02,5.750374e-01
4.906932e+02,2.255922e+01,-1.353599e+01,1.784228e-01,9.531660e-02,5.930129e-01
4.998726e+02,2.383968e+01,-1.358442e+01,1.853936e-01,9.322346e-02,6.113448e-01
5.090679e+02,2.517449e+01,-1.362047e+01,1.924851e-01,9.091415e-02,6.300312e-01
5.182779e+02,2.656489e+01,-1.364273e+01,1.996924e-01,8.838125e-02,6.490701e-01
5.275016e+02,2.801210e+01,-1.364973e+01,2.070105e-01,8.561740e-02,6.684588e-01
5.367377e+02,2.951731e+01,-1.363993e+01,2.144340e-01,8.261529e-02,6.881941e-01
